code_commune_insee;nom_de_la_commune;code_postal;ligne_5;libelle_d_acheminement;coordonnees_gps
35003;ANDOUILLE NEUVILLE;35250;;ANDOUILLE NEUVILLE;48.297657345,-1.59581351
35006;ARGENTRE DU PLESSIS;35370;;ARGENTRE DU PLESSIS;48.048415915,-1.138440886
35019;BAZOUGES LA PEROUSE;35560;;BAZOUGES LA PEROUSE;48.440633568,-1.563596995
35022;BECHEREL;35190;;BECHEREL;48.2962972,-1.942863634
35033;BOURG DES COMPTES;35890;;BOURG DES COMPTES;47.921452877,-1.722294092
35034;LA BOUSSAC;35120;;LA BOUSSAC;48.51685482,-1.648943478
35037;BREAL SOUS MONTFORT;35310;;BREAL SOUS MONTFORT;48.044855823,-1.865591922
35055;CHANTEPIE;35135;;CHANTEPIE;48.082025446,-1.603859478
35059;LA CHAPELLE DES FOUGERETZ;35520;;LA CHAPELLE DES FOUGERETZ;48.177081793,-1.741313231
35061;LA CHAPELLE ERBREE;35500;;LA CHAPELLE ERBREE;48.140358071,-1.0896589
35069;CHATEAUGIRON;35410;;CHATEAUGIRON;48.048968229,-1.474638706
35075;CHAUVIGNE;35490;;CHAUVIGNE;48.37652357,-1.452166447
35077;CHELUN;35640;;CHELUN;47.85485826,-1.243524251
35078;CHERRUEIX;35120;;CHERRUEIX;48.594855555,-1.71550859
35084;COMBLESSAC;35330;;COMBLESSAC;47.872362356,-2.088404393
35086;COMBOURTILLE;35210;;COMBOURTILLE;48.266245208,-1.264458954
35092;CUGUEN;35270;;CUGUEN;48.440648262,-1.656344051
35101;DOURDAIN;35450;;DOURDAIN;48.19332383,-1.379902525
35106;ERCE EN LAMEE;35620;;ERCE EN LAMEE;47.817939975,-1.582416731
35112;FLEURIGNE;35133;;FLEURIGNE;48.361731329,-1.111788141
35124;GRAND FOUGERAY;35390;;GRAND FOUGERAY;47.73420778,-1.728304469
35125;LA GUERCHE DE BRETAGNE;35130;;LA GUERCHE DE BRETAGNE;47.943905146,-1.243222903
35126;GUICHEN;35580;;GUICHEN;47.965347345,-1.790206811
35136;JANZE;35150;;JANZE;47.942819635,-1.500820323
35145;LANGON;35660;;LANGON;47.733735609,-1.871838736
35146;LANGOUET;35630;;LANGOUET;48.254591018,-1.809648195
35149;LASSY;35580;;LASSY;47.972124737,-1.863996018
35150;LECOUSSE;35133;;LECOUSSE;48.359867855,-1.221026406
35152;LIFFRE;35340;;LIFFRE;48.204131984,-1.514377298
35156;LONGAULNAY;35190;;LONGAULNAY;48.309539615,-1.941104905
35162;LOUVIGNE DU DESERT;35420;;LOUVIGNE DU DESERT;48.48679995,-1.123481674
35163;LUITRE DOMPIERRE;35210;DOMPIERRE DU CHEMIN;LUITRE DOMPIERRE;48.286812702,-1.134053358
35167;MARTIGNE FERCHAUD;35640;;MARTIGNE FERCHAUD;47.828497078,-1.327648466
35168;VAL D ANAST;35330;MAURE DE BRETAGNE;VAL D ANAST;47.900118581,-2.0223224
35171;MEDREAC;35360;;MEDREAC;48.261190021,-2.060998579
35175;MERNEL;35330;;MERNEL;47.898750244,-1.95287698
