code_commune_insee;nom_de_la_commune;code_postal;ligne_5;libelle_d_acheminement;coordonnees_gps
01001;L ABERGEMENT CLEMENCIAT;01400;;L ABERGEMENT CLEMENCIAT;46.153721024,4.925850148
01007;AMBRONAY;01500;;AMBRONAY;46.005690539,5.357748739
01010;ANGLEFORT;01350;;ANGLEFORT;45.909091467,5.795056945
01015;ARBOYS EN BUGEY;01300;ARBIGNIEU;ARBOYS EN BUGEY;45.712796712,5.64167722
01017;ARGIS;01230;;ARGIS;45.933504727,5.482593252
01023;ASNIERES SUR SAONE;01570;;ASNIERES SUR SAONE;46.385206065,4.883700297
01025;BAGE DOMMARTIN;01380;DOMMARTIN;BAGE DOMMARTIN;46.327468413,4.966993244
01031;BELLIGNAT;01100;;BELLIGNAT;46.238150086,5.635913808
01032;BELIGNEUX;01360;;BELIGNEUX;45.859311798,5.140369014
01032;BELIGNEUX;01360;CAMP DE LA VALBONNE;BELIGNEUX;45.859311798,5.140369014
01032;BELIGNEUX;01360;LA VALBONNE;BELIGNEUX;45.859311798,5.140369014
01035;BELLEYDOUX;01130;;BELLEYDOUX;46.253334104,5.785067125
01036;VALROMEY SUR SERAN;01260;SUTRIEU;VALROMEY SUR SERAN;45.918185011,5.656884824
01038;BENY;01370;;BENY;46.319387367,5.282567061
01040;BEREZIAT;01340;;BEREZIAT;46.367707398,5.039989868
01046;BIZIAT;01290;;BIZIAT;46.226338767,4.941082276
01049;LA BOISSE;01120;;LA BOISSE;45.844628451,5.028332382
01051;BOLOZON;01450;;BOLOZON;46.196340526,5.470453285
01052;BOULIGNEUX;01330;;BOULIGNEUX;46.023044402,4.992313384
01054;BOURG ST CHRISTOPHE;01800;;BOURG ST CHRISTOPHE;45.886247155,5.143599073
01064;BRIORD;01470;;BRIORD;45.770630041,5.485482939
01068;CERDON;01450;;CERDON;46.071947147,5.476107384
01076;CHALEY;01230;;CHALEY;45.954366591,5.536967199
01077;CHALLES LA MONTAGNE;01450;;CHALLES LA MONTAGNE;46.122300221,5.457513206
01079;CHAMPAGNE EN VALROMEY;01260;LILIGNOD;CHAMPAGNE EN VALROMEY;45.93196511,5.693133119
01081;CHAMPFROMIER;01410;;CHAMPFROMIER;46.220471277,5.822270927
01083;CHANEINS;01990;;CHANEINS;46.093517041,4.854300227
01084;CHANOZ CHATENAY;01400;;CHANOZ CHATENAY;46.185700461,5.028865152
01089;CHATEAU GAILLARD;01500;;CHATEAU GAILLARD;45.972849668,5.307314958
01092;CHATILLON LA PALUD;01320;;CHATILLON LA PALUD;45.974829804,5.241474204
01094;CHAVANNES SUR REYSSOUZE;01190;;CHAVANNES SUR REYSSOUZE;46.438056692,5.006564061
01098;CHAZEY BONS;01510;PUGIEU;CHAZEY BONS;45.800812797,5.673644385
01110;COLOMIEU;01300;;COLOMIEU;45.736541941,5.627101669
01123;CORMORANCHE SUR SAONE;01290;;CORMORANCHE SUR SAONE;46.241130758,4.827940144
01124;CORMOZ;01560;;CORMOZ;46.433602116,5.221431179
01125;CORVEISSIAT;01250;;CORVEISSIAT;46.250905649,5.471571612
01128;COURTES;01560;;COURTES;46.456933571,5.110909724
01134;CROTTET;01750;;CROTTET;46.283058978,4.877612001
01141;CUZIEU;01300;;CUZIEU;45.819789364,5.676212455
01147;DOMSURE;01270;;DOMSURE;46.424615516,5.293568072
01155;EVOSGES;01230;;EVOSGES;45.965059972,5.502978842
01158;FARGES;01550;;FARGES;46.166776481,5.900181528
01159;FEILLENS;01570;;FEILLENS;46.336262989,4.885623771
01160;FERNEY VOLTAIRE;01210;;FERNEY VOLTAIRE;46.251506821,6.107612983
01165;FRANCHELEINS;01090;AMAREINS;FRANCHELEINS;46.073642487,4.812560271
01166;FRANS;01480;;FRANS;45.993691889,4.780690701
